                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.3438,                0.83307,                 1.1434,                0.79068,                0.72446,                0.77504,                0.34179,                 1.9217,                0.99018,                 1.4279,               0.008878,               0.008878,               0.008878
                     36,                 1.3375,                 0.8336,                 1.1416,                0.79061,                0.75489,                0.79957,                0.34972,                 1.8832,                0.94668,                 1.3913,               0.008845,               0.008845,               0.008845
                     37,                 1.3464,                 0.8198,                 1.1384,                0.81621,                0.77291,                0.83691,                0.37839,                 1.8746,                0.90564,                 1.3701,               0.008812,               0.008812,               0.008812
                     38,                 1.3306,                 0.8114,                 1.1316,                0.78675,                0.78004,                0.80527,                0.37076,                 1.8449,                 0.9699,                 1.3785,               0.008779,               0.008779,               0.008779
                     39,                 1.3202,                0.80505,                 1.1271,                0.82259,                0.71747,                0.80765,                 0.4006,                 1.7533,                0.94489,                 1.3267,               0.008746,               0.008746,               0.008746
                     40,                 1.3278,                0.80808,                   1.13,                0.82728,                0.71296,                0.79879,                0.33864,                 1.9351,                0.98421,                 1.3994,               0.008713,               0.008713,               0.008713
                     41,                  1.311,                0.80029,                 1.1226,                0.82441,                0.74674,                0.80787,                0.37327,                 1.8426,                0.95318,                 1.3489,                0.00868,                0.00868,                0.00868
                     42,                 1.3099,                0.79301,                 1.1253,                0.82986,                  0.775,                 0.8324,                0.35919,                 1.9137,                0.89013,                 1.3853,               0.008647,               0.008647,               0.008647
                     43,                 1.3105,                0.77895,                 1.1198,                0.81108,                 0.7962,                0.81905,                0.36537,                 1.8512,                 0.9174,                 1.3432,               0.008614,               0.008614,               0.008614
                     44,                 1.2964,                0.78146,                 1.1088,                0.80914,                0.79767,                0.83351,                0.36349,                 1.9253,                 0.8767,                 1.4239,               0.008581,               0.008581,               0.008581
                     45,                 1.2989,                0.78793,                 1.1192,                0.78811,                0.76336,                0.80045,                0.36369,                 1.8188,                0.96836,                 1.3748,               0.008548,               0.008548,               0.008548
                     46,                 1.2839,                 0.7655,                 1.1085,                0.80023,                0.75924,                0.82011,                0.38423,                 1.7983,                0.93766,                 1.3394,               0.008515,               0.008515,               0.008515
                     47,                 1.2839,                0.76783,                 1.1093,                0.78417,                0.79891,                0.83715,                0.40712,                  1.756,                0.88782,                  1.327,               0.008482,               0.008482,               0.008482
                     48,                 1.2757,                0.75904,                 1.1016,                0.78416,                0.73424,                0.80071,                0.38706,                  1.766,                0.96305,                 1.3312,               0.008449,               0.008449,               0.008449
                     49,                 1.2707,                0.75104,                 1.1018,                0.84756,                0.75543,                0.81806,                0.39078,                 1.7732,                0.95242,                 1.3348,               0.008416,               0.008416,               0.008416
                     50,                 1.2752,                0.75953,                 1.0998,                  0.835,                0.77125,                0.82166,                0.40241,                 1.7585,                0.85202,                  1.318,               0.008383,               0.008383,               0.008383
                     51,                 1.2614,                0.75898,                 1.1001,                  0.784,                0.79287,                  0.816,                0.37913,                 1.8209,                0.88221,                 1.3702,                0.00835,                0.00835,                0.00835
                     52,                 1.2716,                0.74758,                 1.0998,                0.80271,                0.82956,                0.83675,                0.40037,                 1.7636,                0.87219,                 1.3256,               0.008317,               0.008317,               0.008317
                     53,                 1.2656,                0.74997,                  1.102,                0.81723,                0.83724,                0.84826,                0.39587,                 1.8045,                0.84072,                 1.3514,               0.008284,               0.008284,               0.008284
                     54,                 1.2476,                 0.7386,                 1.0946,                 0.7767,                0.78454,                0.82668,                0.39731,                 1.7984,                0.90195,                 1.3431,               0.008251,               0.008251,               0.008251
                     55,                 1.2515,                0.74132,                 1.0923,                0.79349,                0.79934,                0.83981,                0.38945,                 1.7872,                0.90121,                 1.3559,               0.008218,               0.008218,               0.008218
                     56,                 1.2372,                 0.7264,                 1.0818,                0.76952,                0.85701,                0.85675,                0.39347,                 1.8122,                0.86307,                  1.337,               0.008185,               0.008185,               0.008185
                     57,                  1.248,                0.72684,                 1.0934,                0.85368,                0.74791,                0.84274,                0.39747,                 1.8181,                0.86296,                  1.354,               0.008152,               0.008152,               0.008152
                     58,                 1.2429,                0.72865,                 1.0902,                0.84334,                0.77884,                0.82742,                0.39989,                 1.7976,                0.92847,                 1.3474,               0.008119,               0.008119,               0.008119
                     59,                 1.2311,                0.72872,                 1.0897,                0.83727,                0.70489,                0.80055,                0.38988,                 1.7768,                0.92619,                 1.3327,               0.008086,               0.008086,               0.008086
                     60,                 1.2262,                0.72196,                 1.0812,                0.87189,                0.72228,                0.82169,                0.39585,                 1.7641,                0.89156,                 1.3144,               0.008053,               0.008053,               0.008053
