                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.3123,                0.79363,                 1.1216,                0.82224,                0.76141,                0.79874,                0.35032,                 1.9564,                 0.9526,                 1.4258,               0.006733,               0.006733,               0.006733
                     35,                 1.2997,                0.78581,                 1.1194,                 0.7994,                0.76877,                0.80636,                0.38567,                 1.8034,                0.95006,                 1.3539,               0.006634,               0.006634,               0.006634
                     36,                 1.3024,                0.79621,                 1.1262,                0.80217,                0.76387,                0.82011,                0.37605,                 1.8111,                0.91394,                 1.3515,               0.006535,               0.006535,               0.006535
                     37,                 1.2928,                0.77969,                 1.1172,                0.75085,                0.79634,                0.80697,                0.34752,                 1.9475,                0.93237,                 1.4094,               0.006436,               0.006436,               0.006436
                     38,                 1.2823,                0.75961,                 1.1104,                0.75646,                0.77081,                0.78474,                 0.3584,                 1.9157,                0.97132,                 1.3881,               0.006337,               0.006337,               0.006337
                     39,                  1.283,                0.76253,                 1.1082,                0.80758,                0.86467,                0.87704,                0.42209,                 1.7736,                0.81624,                 1.3206,               0.006238,               0.006238,               0.006238
                     40,                 1.2794,                0.76025,                 1.1075,                0.84163,                0.76141,                0.82663,                0.37081,                  1.905,                0.89541,                 1.3942,               0.006139,               0.006139,               0.006139
                     41,                 1.2659,                0.75118,                 1.1035,                0.80908,                0.76677,                0.81958,                 0.3836,                  1.821,                0.91845,                 1.3678,                0.00604,                0.00604,                0.00604
                     42,                 1.2629,                0.75182,                 1.0971,                0.84419,                0.75061,                0.83648,                0.38389,                 1.8713,                0.87787,                 1.3794,               0.005941,               0.005941,               0.005941
                     43,                 1.2601,                 0.7473,                  1.098,                 0.8119,                0.77164,                 0.8221,                0.36419,                 1.9007,                0.91874,                 1.3826,               0.005842,               0.005842,               0.005842
                     44,                 1.2468,                 0.7362,                  1.093,                0.85487,                0.78859,                0.86203,                0.37975,                 1.8158,                0.88588,                 1.3444,               0.005743,               0.005743,               0.005743
                     45,                 1.2377,                0.72476,                 1.0916,                0.83324,                0.81576,                0.85113,                0.40016,                 1.8061,                0.85046,                 1.3367,               0.005644,               0.005644,               0.005644
                     46,                 1.2429,                 0.7295,                 1.0903,                0.82072,                0.79946,                0.84205,                0.39396,                 1.8252,                0.86385,                 1.3461,               0.005545,               0.005545,               0.005545
                     47,                 1.2441,                 0.7213,                 1.0909,                0.76158,                0.77609,                0.81675,                0.39067,                 1.7958,                0.88595,                 1.3338,               0.005446,               0.005446,               0.005446
                     48,                 1.2274,                0.71205,                 1.0836,                0.84881,                0.81359,                0.86936,                 0.3989,                 1.7986,                0.82968,                 1.3311,               0.005347,               0.005347,               0.005347
